user_id,segment_label
503973,1-night free hotel with a flight
619218,1-night free hotel with a flight
546050,1-night free hotel with a flight
521335,1-night free hotel with a flight
554632,1-night free hotel with a flight
573926,Exclusive discounts
570626,1-night free hotel with a flight
527130,1-night free hotel with a flight
613655,1-night free hotel with a flight
520141,1-night free hotel with a flight
531447,1-night free hotel with a flight
568258,1-night free hotel with a flight
629345,Exclusive discounts
513093,1-night free hotel with a flight
598185,1-night free hotel with a flight
548307,1-night free hotel with a flight
558251,1-night free hotel with a flight
597510,1-night free hotel with a flight
577115,1-night free hotel with a flight
550460,1-night free hotel with a flight
523746,1-night free hotel with a flight
555492,1-night free hotel with a flight
471717,1-night free hotel with a flight
557036,1-night free hotel with a flight
565240,1-night free hotel with a flight
629747,1-night free hotel with a flight
541931,1-night free hotel with a flight
584844,1-night free hotel with a flight
613383,1-night free hotel with a flight
540863,Exclusive discounts
542095,1-night free hotel with a flight
563343,1-night free hotel with a flight
563736,1-night free hotel with a flight
532329,1-night free hotel with a flight
526256,Exclusive discounts
551042,Free hotel meal
534351,1-night free hotel with a flight
584843,1-night free hotel with a flight
527132,1-night free hotel with a flight
516177,Exclusive discounts
624215,1-night free hotel with a flight
535879,1-night free hotel with a flight
603635,1-night free hotel with a flight
593804,1-night free hotel with a flight
541249,1-night free hotel with a flight
532500,Free checked bag
548408,1-night free hotel with a flight
610806,1-night free hotel with a flight
510356,Exclusive discounts
619520,1-night free hotel with a flight
557643,Exclusive discounts
539899,1-night free hotel with a flight
584530,1-night free hotel with a flight
526174,1-night free hotel with a flight
512294,1-night free hotel with a flight
542825,1-night free hotel with a flight
539221,1-night free hotel with a flight
553456,1-night free hotel with a flight
518735,1-night free hotel with a flight
616734,Exclusive discounts
598687,1-night free hotel with a flight
519335,1-night free hotel with a flight
565070,1-night free hotel with a flight
546671,Free checked bag
534742,Free checked bag
633195,1-night free hotel with a flight
631174,1-night free hotel with a flight
522476,1-night free hotel with a flight
588391,1-night free hotel with a flight
600057,1-night free hotel with a flight
565514,1-night free hotel with a flight
587195,Free checked bag
618266,1-night free hotel with a flight
540597,Free checked bag
541259,Exclusive discounts
566875,1-night free hotel with a flight
545865,1-night free hotel with a flight
574467,Free checked bag
574513,1-night free hotel with a flight
524076,Free checked bag
381465,Free checked bag
530188,1-night free hotel with a flight
570666,Free checked bag
595122,1-night free hotel with a flight
525761,1-night free hotel with a flight
589812,1-night free hotel with a flight
521885,1-night free hotel with a flight
589259,1-night free hotel with a flight
605945,Free checked bag
609763,1-night free hotel with a flight
526495,1-night free hotel with a flight
512610,1-night free hotel with a flight
618535,Free checked bag
530775,Free hotel meal
532381,Free checked bag
627617,1-night free hotel with a flight
536876,1-night free hotel with a flight
558774,1-night free hotel with a flight
560888,1-night free hotel with a flight
531094,1-night free hotel with a flight
579971,1-night free hotel with a flight
528688,Free checked bag
503058,1-night free hotel with a flight
568602,Free checked bag
516789,Free checked bag
582801,1-night free hotel with a flight
567547,Exclusive discounts
505916,1-night free hotel with a flight
527552,Exclusive discounts
587234,Free checked bag
589164,Free checked bag
565912,1-night free hotel with a flight
560125,Free checked bag
565265,Exclusive discounts
589306,1-night free hotel with a flight
632988,1-night free hotel with a flight
513289,Free checked bag
480690,Free checked bag
627889,1-night free hotel with a flight
509530,1-night free hotel with a flight
583483,1-night free hotel with a flight
522738,Exclusive discounts
585717,Free checked bag
590471,Free hotel meal
592445,1-night free hotel with a flight
562587,1-night free hotel with a flight
542277,Free hotel meal
542805,Free checked bag
411179,1-night free hotel with a flight
538167,1-night free hotel with a flight
636526,1-night free hotel with a flight
513807,Free hotel meal
615749,Free hotel meal
522375,Free hotel meal
524001,Exclusive discounts
551600,Free checked bag
545633,Free checked bag
608820,Free checked bag
556841,1-night free hotel with a flight
542334,Free checked bag
529510,Free checked bag
515580,Free checked bag
548193,Free checked bag
490107,Free checked bag
503773,Free checked bag
523098,1-night free hotel with a flight
586820,1-night free hotel with a flight
504240,1-night free hotel with a flight
513853,Exclusive discounts
516178,1-night free hotel with a flight
591155,Free hotel meal
574465,1-night free hotel with a flight
581111,1-night free hotel with a flight
510571,1-night free hotel with a flight
494704,Free checked bag
561665,Free checked bag
590744,1-night free hotel with a flight
529050,Free checked bag
547825,Free checked bag
582190,1-night free hotel with a flight
567458,Free checked bag
592378,Free hotel meal
554269,1-night free hotel with a flight
375751,Free checked bag
547878,Free checked bag
479524,Free checked bag
551448,1-night free hotel with a flight
586803,Free checked bag
540180,Free checked bag
518533,Free checked bag
536658,Exclusive discounts
594188,Free hotel meal
435837,Free checked bag
496074,Free checked bag
549850,1-night free hotel with a flight
528322,1-night free hotel with a flight
541176,Free checked bag
448025,Free checked bag
573379,Free checked bag
350648,Free checked bag
462127,Free checked bag
190866,Free checked bag
551665,Free checked bag
510093,Free checked bag
555257,Free checked bag
541967,Free checked bag
481622,Free checked bag
502995,Free checked bag
518922,Free checked bag
468370,Exclusive discounts
499760,1-night free hotel with a flight
382533,Free hotel meal
514627,Free hotel meal
557033,No cancellation fees
164522,No cancellation fees
492211,Free checked bag
526867,Free checked bag
449619,Free checked bag
565573,Free checked bag
547594,1-night free hotel with a flight
542027,Free checked bag
101961,Free checked bag
510061,Free checked bag
483345,Free checked bag
474120,No cancellation fees
389759,Free hotel meal
450305,Free checked bag
508829,Free checked bag
400275,Free checked bag
538139,1-night free hotel with a flight
509712,Free checked bag
570782,Free hotel meal
517776,Free checked bag
395202,Free checked bag
514337,Free checked bag
160754,Free checked bag
536810,1-night free hotel with a flight
557262,1-night free hotel with a flight
187212,No cancellation fees
585946,1-night free hotel with a flight
504665,1-night free hotel with a flight
106907,Free checked bag
407434,Free checked bag
579503,Free checked bag
324191,Free checked bag
525034,1-night free hotel with a flight
594914,Exclusive discounts
205044,Free checked bag
570961,No cancellation fees
554202,1-night free hotel with a flight
600926,1-night free hotel with a flight
488865,Free checked bag
452594,Free checked bag
506807,Free checked bag
428552,Free checked bag
623043,1-night free hotel with a flight
595527,Free checked bag
565565,Exclusive discounts
522970,No cancellation fees
559226,Free hotel meal
133058,No cancellation fees
573365,Exclusive discounts
206011,Free hotel meal
560035,Free checked bag
120851,Free checked bag
592366,Free checked bag
435882,Free checked bag
554163,Free checked bag
621665,1-night free hotel with a flight
543559,Free hotel meal
537066,Free checked bag
495603,Free checked bag
529424,Free checked bag
534378,1-night free hotel with a flight
565114,1-night free hotel with a flight
575692,Free checked bag
476173,Free checked bag
596863,Free checked bag
299476,Free checked bag
495029,No cancellation fees
312488,No cancellation fees
380436,Free checked bag
399137,Free checked bag
541980,1-night free hotel with a flight
618642,Exclusive discounts
541132,Free checked bag
520327,Free checked bag
229009,Free checked bag
559661,Free checked bag
528777,1-night free hotel with a flight
522809,Free hotel meal
125845,Free checked bag
152583,Free hotel meal
460181,Free hotel meal
563731,1-night free hotel with a flight
557875,Exclusive discounts
552929,1-night free hotel with a flight
536489,1-night free hotel with a flight
498199,Free checked bag
454616,Free checked bag
436894,Free checked bag
545345,Free checked bag
514589,Free checked bag
511440,1-night free hotel with a flight
570928,Free hotel meal
396552,Free checked bag
476742,Free checked bag
529406,1-night free hotel with a flight
507513,Free checked bag
604136,1-night free hotel with a flight
515974,Free checked bag
453168,Free checked bag
626520,1-night free hotel with a flight
577667,1-night free hotel with a flight
283325,Free hotel meal
487858,Free checked bag
570436,1-night free hotel with a flight
520175,Free hotel meal
549390,1-night free hotel with a flight
516076,1-night free hotel with a flight
616222,Exclusive discounts
502826,1-night free hotel with a flight
516697,1-night free hotel with a flight
544367,1-night free hotel with a flight
544333,1-night free hotel with a flight
531967,Free checked bag
581721,Exclusive discounts
118043,Free hotel meal
446933,Free hotel meal
572214,No cancellation fees
515004,1-night free hotel with a flight
537393,Free checked bag
568101,Exclusive discounts
549274,1-night free hotel with a flight
589884,1-night free hotel with a flight
513441,Free checked bag
522944,Exclusive discounts
514457,Free checked bag
635587,1-night free hotel with a flight
581091,1-night free hotel with a flight
540733,1-night free hotel with a flight
541516,Free checked bag
543497,Exclusive discounts
637457,1-night free hotel with a flight
542230,Free checked bag
595740,1-night free hotel with a flight
438551,Free hotel meal
519430,No cancellation fees
577044,Exclusive discounts
475467,No cancellation fees
619079,Exclusive discounts
509421,Free hotel meal
591328,1-night free hotel with a flight
499375,Free hotel meal
590473,1-night free hotel with a flight
378565,Free hotel meal
511298,1-night free hotel with a flight
530514,1-night free hotel with a flight
94883,Free checked bag
524473,Free hotel meal
534474,Free hotel meal
443305,Free checked bag
528379,Free checked bag
500288,1-night free hotel with a flight
537400,Free checked bag
555796,Exclusive discounts
